#header info#
48	#latitude; used for cacluating drought index in model bugmann#
1832	#meter a.s.l. #

#temperature laps rate with increasing altitude: #
-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50

#precipitation	laps	rate	with	increasing	altitude:	#
4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0

100	#meter:	corrections	(see	above)	every	x	meter.	#

#	mean	monthly	temperature	C								total	monthly	precipitation		mm		#
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
2004.1 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
2005 -5.7 -9.3 -2.6 1.1 5.3 9 9.9 8.3 8.2 8.1 -1.4 -6.8 198.6 204.7 96 147.2 183.8 113.7 263.3 344.3 87.2 37.1 124.1 191
2004 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
1960.4 -5.3 -3 -1.2 -0.2 5.3 8.6 7.6 9.6 6.3 3.9 0.7 -2.7 229 185.1 171.7 170.8 201.1 321.7 247.4 337.7 174.1 170.3 105.3 65.2
1996.2 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1980.1.3 -6 -3.1 -3 -3.3 2.1 5.5 7.2 10.3 8.3 2.1 -1.9 -5.5 161 122.9 147.5 426.6 92.3 204.1 176.3 127.8 139.9 129.3 121.1 141.2
1996.1.7 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
2004.3.1 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
1954.1 -8.6 -5.7 -0.8 -2.1 3.5 8.6 6.9 9.3 8 4 0.4 -2.1 388.2 70.9 87.3 261.8 368.5 279.1 563.3 181.7 319 211.1 159.4 282.1
1964.7 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
2007.2.1 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
2004.1.1 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
1960.5 -5.3 -3 -1.2 -0.2 5.3 8.6 7.6 9.6 6.3 3.9 0.7 -2.7 229 185.1 171.7 170.8 201.1 321.7 247.4 337.7 174.1 170.3 105.3 65.2
1958.1 -3.9 -2.5 -6.6 -2.3 8.3 7 10.3 11.3 9.4 4 1.5 -2.3 138.4 319.4 223 235.4 139.1 434.9 220.9 208.6 209.1 331.7 89.9 145.9
1980.4 -6 -3.1 -3 -3.3 2.1 5.5 7.2 10.3 8.3 2.1 -1.9 -5.5 161 122.9 147.5 426.6 92.3 204.1 176.3 127.8 139.9 129.3 121.1 141.2
1969.1 -3.2 -8.1 -2.9 -0.4 6.4 5.2 10.1 7.8 8.7 6.9 -1.2 -7.8 157.7 155.5 88 157.4 87.6 189.1 110.6 243.2 43.4 24.4 223.9 175.9
2005.1 -5.7 -9.3 -2.6 1.1 5.3 9 9.9 8.3 8.2 8.1 -1.4 -6.8 198.6 204.7 96 147.2 183.8 113.7 263.3 344.3 87.2 37.1 124.1 191
2001.3 -3.4 -4 -0.4 -1.6 7.8 6.2 10.6 12 3.4 8.6 -2.3 -7.3 101.6 165.2 134.9 282.5 46.3 314.8 78.3 157.1 232 73.4 227.7 308.1
1960.6 -5.3 -3 -1.2 -0.2 5.3 8.6 7.6 9.6 6.3 3.9 0.7 -2.7 229 185.1 171.7 170.8 201.1 321.7 247.4 337.7 174.1 170.3 105.3 65.2
1989.2 0.4 -0.8 0.8 0.5 5.1 5.7 9.9 9.5 7.3 5 -0.5 0.7 34.4 130.8 91.3 116.7 72.6 136.2 212.6 114.7 174.5 88 71.7 37.9
1958.1.1 -3.9 -2.5 -6.6 -2.3 8.3 7 10.3 11.3 9.4 4 1.5 -2.3 138.4 319.4 223 235.4 139.1 434.9 220.9 208.6 209.1 331.7 89.9 145.9
1952.3 -6 -7.5 -2.2 3.5 4.3 8.8 12.9 12 3.9 1.8 -3.3 -4.2 194 278.1 379.6 83.2 203.6 218.7 106.2 170.9 205.4 301.1 393.5 202.3
1962.3 -3.8 -7 -6.5 0.8 1.9 6 8.6 11.2 7.4 5.2 -1.5 -5.1 244.4 304.1 189.6 181.9 318.2 184.4 274.8 129.7 154.6 48.2 65.9 255.5
1964.8 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
