decade, abiealba, piceabie, fagusilv, elevation, area
0, 17.84, 20.3476, 17.7254, 894, 1.5625
0, 19.2485, 19.7905, 17.0581, 895, 0.875
0, 22.5049, 17.8328, 15.4342, 896, 0.9375
0, 18.8057, 18.7974, 15.6315, 897, 1.3125
0, 21.3563, 20.9897, 14.1967, 898, 1.25
0, 19.4892, 17.3348, 17.9353, 899, 1.0625
0, 22.988, 19.8576, 14.3731, 900, 0.8125
0, 22.0031, 17.692, 16.7405, 901, 1.125
0, 19.5555, 18.6263, 18.3009, 902, 1.3125
0, 21.214, 15.1498, 16.0444, 903, 1
0, 20.8282, 16.8338, 17.6682, 904, 1.0625
0, 21.2177, 19.7386, 13.1179, 905, 1.25
0, 21.8857, 19.5032, 17.11, 906, 0.8125
0, 20.6638, 16.2198, 18.352, 907, 0.75
0, 22.692, 19.0889, 16.8595, 908, 1.0625
0, 17.6811, 19.0237, 17.7102, 909, 1.4375
0, 17.9322, 18.7269, 19.1008, 910, 0.6875
0, 18.4458, 19.4949, 17.4525, 911, 1.1875
0, 16.1284, 20.9341, 19.2685, 912, 1.125
0, 19.4173, 13.4771, 23.1678, 913, 1.0625
0, 20.9713, 19.3314, 16.3781, 914, 0.9375
0, 22.821, 16.4605, 18.1071, 915, 1.3125
0, 19.0935, 19.363, 17.7826, 916, 1.1875
0, 20.5444, 19.6776, 14.9075, 917, 1.5
0, 18.95, 14.5947, 20.6298, 918, 0.625
0, 22.3585, 17.4849, 18.7842, 919, 1.125
0, 19.1726, 18.8607, 18.2109, 920, 1.375
0, 20.3326, 18.2863, 18.0167, 921, 1.3125
0, 21.8084, 16.1228, 18.7395, 922, 1.5625
0, 21.1893, 17.3599, 17.0323, 923, 1.25
0, 23.4085, 17.9516, 14.9584, 924, 1.1875
0, 23.8691, 19.2458, 13.3119, 925, 0.8125
0, 18.1976, 22.2431, 17.3508, 926, 1.125
0, 22.3564, 17.4236, 19.3761, 927, 0.875
0, 19.9408, 17.434, 17.576, 928, 1.75
0, 18.1654, 22.3771, 17.1487, 929, 1.375
0, 22.127, 18.6217, 17.0891, 930, 1.0625
0, 20.5382, 19.9743, 17.7344, 931, 1.3125
0, 19.7545, 18.5003, 17.9323, 932, 1.75
0, 21.363, 20.8852, 16.041, 933, 1.5
0, 20.0951, 19.9533, 18.724, 934, 1.0625
0, 21.6441, 17.7048, 19.4262, 935, 1.375
0, 21.4577, 20.7484, 16.3193, 936, 1.5625
0, 16.124, 20.8054, 19.6275, 937, 1.5625
0, 19.5298, 20.7017, 17.0311, 938, 1.6875
0, 19.5879, 20.0863, 18.5056, 939, 1.1875
0, 20.0634, 22.2726, 16.4186, 940, 1.875
0, 20.0048, 21.242, 16.4661, 941, 1.5
0, 20.5166, 19.969, 17.6598, 942, 1.9375
0, 20.9513, 22.0137, 16.1493, 943, 0.875
0, 20.8154, 20.0456, 17.1832, 944, 1.3125
0, 21.8577, 20.6182, 16.9325, 945, 1.6875
0, 26.6697, 18.1955, 14.9568, 946, 1.25
0, 20.0612, 21.3501, 17.1973, 947, 2.0625
0, 19.5184, 16.1501, 22.9068, 948, 1.125
0, 19.9563, 21.3269, 17.2103, 949, 2.3125
0, 23.9865, 18.4173, 17.8273, 950, 1.9375
0, 20.4876, 21.5959, 18.4805, 951, 2.125
0, 20.3001, 20.0106, 18.4364, 952, 1.875
0, 21.9689, 21.224, 18.909, 953, 2.5625
0, 19.4134, 21.6809, 19.473, 954, 1.875
0, 21.4715, 22.0351, 18.1501, 955, 2.8125
0, 20.2888, 21.5198, 20.0868, 956, 2.8125
0, 22.4412, 18.9251, 18.9557, 957, 1.9375
0, 20.8051, 22.636, 18.4526, 958, 2.0625
0, 25.8834, 20.9622, 15.2999, 959, 1.5625
0, 24.5973, 20.8024, 15.8738, 960, 1.5
