decade, abiealba, fagusilv, elevation, area
0, 2025.41, 1354.35, 873, 1.0625
0, 2037.33, 1684.57, 874, 1.3125
0, 1851.29, 1769.41, 875, 1.0625
0, 2106.35, 1653.65, 876, 1.0625
0, 2213.71, 1496, 877, 0.875
0, 2404.27, 1415.47, 878, 0.9375
0, 1792.73, 1325.82, 879, 1.375
0, 2113.14, 1633.14, 880, 0.875
0, 2580, 1274, 881, 1
0, 1682.13, 1756.8, 882, 0.9375
0, 1865.78, 1824.89, 883, 1.125
0, 1886.12, 1713.88, 884, 1.0625
0, 2359, 1319, 885, 1
0, 2170.4, 1589.6, 886, 1.25
0, 2551.47, 1238.4, 887, 0.9375
0, 2328.57, 1518.86, 888, 1.75
0, 2008.47, 1754.35, 889, 1.0625
0, 2020.8, 1456, 890, 0.625
0, 1773, 1891, 891, 1
0, 2152.42, 1429.89, 892, 1.1875
0, 1934.55, 1821.82, 893, 1.375
0, 2471.68, 1332.48, 894, 1.5625
0, 2155.43, 1326.86, 895, 0.875
0, 2243.2, 1605.33, 896, 0.9375
0, 2012.95, 1608.38, 897, 1.3125
0, 2021.6, 1764, 898, 1.25
0, 2165.65, 1303.53, 899, 1.0625
0, 2220.31, 1630.77, 900, 0.8125
0, 1929.78, 1705.78, 901, 1.125
0, 1872.76, 1757.71, 902, 1.3125
0, 1787, 1819, 903, 1
0, 2246.59, 1613.18, 904, 1.0625
0, 2280, 1424.8, 905, 1.25
0, 2105.85, 1661.54, 906, 0.8125
0, 1884, 1804, 907, 0.75
0, 1861.65, 1895.53, 908, 1.0625
0, 1881.04, 1825.39, 909, 1.4375
0, 2132.36, 1704.73, 910, 0.6875
0, 1872.84, 1758.32, 911, 1.1875
0, 2120, 1697.78, 912, 1.125
0, 1994.35, 1681.88, 913, 1.0625
0, 2137.6, 1581.87, 914, 0.9375
0, 2172.19, 1740.19, 915, 1.3125
0, 2038.74, 1722.11, 916, 1.1875
0, 2182.67, 1560, 917, 1.5
0, 2107.2, 1520, 918, 0.625
0, 2216.89, 1517.33, 919, 1.125
0, 2176.73, 1585.45, 920, 1.375
0, 2200.38, 1491.05, 921, 1.3125
0, 2232.96, 1674.88, 922, 1.5625
0, 2011.2, 1523.2, 923, 1.25
0, 2378.95, 1472.84, 924, 1.1875
0, 2286.77, 1601.23, 925, 0.8125
0, 2190.22, 1616, 926, 1.125
0, 2409.14, 1569.14, 927, 0.875
0, 2382.86, 1393.71, 928, 1.75
0, 2426.91, 1466.18, 929, 1.375
0, 2071.53, 1719.53, 930, 1.0625
0, 2068.57, 1555.81, 931, 1.3125
0, 2146.86, 1618.86, 932, 1.75
0, 2514, 1372, 933, 1.5
0, 1680, 2079.06, 934, 1.0625
0, 2337.45, 1560.73, 935, 1.375
0, 2235.52, 1392.64, 936, 1.5625
0, 1861.76, 1923.84, 937, 1.5625
0, 2126.81, 1653.93, 938, 1.6875
0, 2155.79, 1540.21, 939, 1.1875
0, 2124.8, 1726.93, 940, 1.875
0, 2114.67, 1662.67, 941, 1.5
0, 2363.87, 1544.26, 942, 1.9375
0, 2260.57, 1627.43, 943, 0.875
0, 2581.33, 1352.38, 944, 1.3125
0, 1938.96, 1976.3, 945, 1.6875
0, 2391.2, 1519.2, 946, 1.25
0, 2096, 1706.18, 947, 2.0625
0, 1927.11, 1847.11, 948, 1.125
0, 2037.62, 1611.24, 949, 2.3125
0, 2458.32, 1450.84, 950, 1.9375
0, 1838.59, 1790.59, 951, 2.125
0, 1997.33, 1798.93, 952, 1.875
0, 2000.78, 1885.27, 953, 2.5625
0, 2544, 1539.73, 954, 1.875
0, 2230.4, 1684.62, 955, 2.8125
0, 2308.27, 1689.6, 956, 2.8125
0, 2560.52, 1293.94, 957, 1.9375
0, 2139.15, 1926.79, 958, 2.0625
0, 2131.2, 1772.8, 959, 1.5625
0, 2190, 1790.67, 960, 1.5
0, 2381.04, 1637.33, 961, 1.6875
0, 2458.67, 1569.33, 962, 0.75
0, 1912.53, 1852.8, 963, 0.9375
0, 2241.68, 1698.53, 964, 1.1875
0, 1905.23, 2033.23, 965, 0.8125
